"Wavelength, µm","n","k"
1.042,2.097112,0
1.044,2.09703,0
1.046,2.096949,0
1.048,2.096868,0
1.05,2.096787,0
1.052,2.096707,0
1.054,2.096627,0
1.056,2.096548,0
1.058,2.09647,0
1.06,2.096391,0
1.062,2.096314,0
1.064,2.096236,0
1.066,2.096159,0
1.068,2.096083,0
1.07,2.096007,0
1.072,2.095931,0
1.074,2.095856,0
1.076,2.095782,0
1.078,2.095707,0
1.08,2.095634,0
1.082,2.09556,0
1.084,2.095487,0
1.086,2.095415,0
1.088,2.095343,0
1.09,2.095271,0
1.092,2.0952,0
1.094,2.095129,0
1.096,2.095058,0
1.098,2.094988,0
1.1,2.094918,0
1.102,2.094849,0
1.104,2.09478,0
1.106,2.094712,0
1.108,2.094643,0
1.11,2.094576,0
1.112,2.094508,0
1.114,2.094441,0
1.116,2.094375,0
1.118,2.094308,0
1.12,2.094242,0
1.122,2.094177,0
1.124,2.094112,0
1.126,2.094047,0
1.128,2.093982,0
1.13,2.093918,0
1.132,2.093854,0
1.134,2.093791,0
1.136,2.093728,0
1.138,2.093665,0
1.14,2.093603,0
1.142,2.093541,0
1.144,2.093479,0
1.146,2.093418,0
1.148,2.093356,0
1.15,2.093296,0
1.152,2.093235,0
1.154,2.093175,0
1.156,2.093116,0
1.158,2.093056,0
1.16,2.092997,0
1.162,2.092938,0
1.164,2.09288,0
1.166,2.092821,0
1.168,2.092764,0
1.17,2.092706,0
1.172,2.092649,0
1.174,2.092592,0
1.176,2.092535,0
1.178,2.092479,0
1.18,2.092423,0
1.182,2.092367,0
1.184,2.092311,0
1.186,2.092256,0
1.188,2.092201,0
1.19,2.092147,0
1.192,2.092092,0
1.194,2.092038,0
1.196,2.091984,0
1.198,2.091931,0
1.2,2.091878,0
1.202,2.091825,0
1.204,2.091772,0
1.206,2.09172,0
1.208,2.091668,0
1.21,2.091616,0
1.212,2.091564,0
1.214,2.091513,0
1.216,2.091462,0
1.218,2.091411,0
1.22,2.09136,0
1.222,2.09131,0
1.224,2.09126,0
1.226,2.09121,0
1.228,2.09116,0
1.23,2.091111,0
1.232,2.091062,0
1.234,2.091013,0
1.236,2.090964,0
1.238,2.090916,0
1.24,2.090868,0
1.242,2.09082,0
1.244,2.090773,0
1.246,2.090725,0
1.248,2.090678,0
1.25,2.090631,0
1.252,2.090584,0
1.254,2.090538,0
1.256,2.090492,0
1.258,2.090446,0
1.26,2.0904,0
1.262,2.090354,0
1.264,2.090309,0
1.266,2.090264,0
1.268,2.090219,0
1.27,2.090174,0
1.272,2.09013,0
1.274,2.090085,0
1.276,2.090041,0
1.278,2.089998,0
1.28,2.089954,0
1.282,2.089911,0
1.284,2.089867,0
1.286,2.089824,0
1.288,2.089782,0
1.29,2.089739,0
1.292,2.089697,0
1.294,2.089654,0
1.296,2.089612,0
1.298,2.089571,0
1.3,2.089529,0
1.302,2.089488,0
1.304,2.089446,0
1.306,2.089405,0
1.308,2.089365,0
1.31,2.089324,0
1.312,2.089284,0
1.314,2.089243,0
1.316,2.089203,0
1.318,2.089163,0
1.32,2.089124,0
1.322,2.089084,0
1.324,2.089045,0
1.326,2.089006,0
1.328,2.088967,0
1.33,2.088928,0
1.332,2.08889,0
1.334,2.088851,0
1.336,2.088813,0
1.338,2.088775,0
1.34,2.088737,0
1.342,2.088699,0
1.344,2.088662,0
1.346,2.088624,0
1.348,2.088587,0
1.35,2.08855,0
1.352,2.088513,0
1.354,2.088477,0
1.356,2.08844,0
1.358,2.088404,0
1.36,2.088367,0
1.362,2.088331,0
1.364,2.088295,0
1.366,2.08826,0
1.368,2.088224,0
1.37,2.088189,0
1.372,2.088154,0
1.374,2.088119,0
1.376,2.088084,0
1.378,2.088049,0
1.38,2.088014,0
1.382,2.08798,0
1.384,2.087945,0
1.386,2.087911,0
1.388,2.087877,0
1.39,2.087843,0
1.392,2.08781,0
1.394,2.087776,0
1.396,2.087743,0
1.398,2.087709,0
1.4,2.087676,0
1.402,2.087643,0
1.404,2.087611,0
1.406,2.087578,0
1.408,2.087545,0
1.41,2.087513,0
1.412,2.087481,0
1.414,2.087449,0
1.416,2.087417,0
1.418,2.087385,0
1.42,2.087353,0
1.422,2.087321,0
1.424,2.08729,0
1.426,2.087259,0
1.428,2.087227,0
1.43,2.087196,0
1.432,2.087166,0
1.434,2.087135,0
1.436,2.087104,0
1.438,2.087074,0
1.44,2.087043,0
1.442,2.087013,0
1.444,2.086983,0
1.446,2.086953,0
1.448,2.086923,0
1.45,2.086893,0
1.452,2.086864,0
1.454,2.086834,0
1.456,2.086805,0
1.458,2.086776,0
1.46,2.086746,0
1.462,2.086717,0
1.464,2.086689,0
1.466,2.08666,0
1.468,2.086631,0
1.47,2.086603,0
1.472,2.086574,0
1.474,2.086546,0
1.476,2.086518,0
1.478,2.08649,0
1.48,2.086462,0
1.482,2.086434,0
1.484,2.086406,0
1.486,2.086379,0
1.488,2.086351,0
1.49,2.086324,0
1.492,2.086297,0
1.494,2.086269,0
1.496,2.086242,0
1.498,2.086215,0
1.5,2.086189,0
1.502,2.086162,0
1.504,2.086135,0
1.506,2.086109,0
1.508,2.086082,0
1.51,2.086056,0
1.512,2.08603,0
1.514,2.086004,0
1.516,2.085978,0
1.518,2.085952,0
1.52,2.085926,0
1.522,2.085901,0
1.524,2.085875,0
1.526,2.08585,0
1.528,2.085824,0
1.53,2.085799,0
1.532,2.085774,0
1.534,2.085749,0
1.536,2.085724,0
1.538,2.085699,0
1.54,2.085674,0
1.542,2.08565,0
1.544,2.085625,0
1.546,2.085601,0
1.548,2.085577,0
1.55,2.085552,0
1.552,2.085528,0
1.554,2.085504,0
1.556,2.08548,0
1.558,2.085456,0
1.56,2.085432,0
1.562,2.085409,0
1.564,2.085385,0
1.566,2.085362,0
1.568,2.085338,0
1.57,2.085315,0
1.572,2.085292,0
1.574,2.085268,0
1.576,2.085245,0
1.578,2.085222,0
1.58,2.0852,0
1.582,2.085177,0
1.584,2.085154,0
1.586,2.085131,0
1.588,2.085109,0
1.59,2.085087,0
1.592,2.085064,0
1.594,2.085042,0
1.596,2.08502,0
1.598,2.084998,0
1.6,2.084976,0
1.602,2.084954,0
1.604,2.084932,0
1.606,2.08491,0
1.608,2.084888,0
1.61,2.084867,0
1.612,2.084845,0
1.614,2.084824,0
1.616,2.084802,0
1.618,2.084781,0
1.62,2.08476,0
1.622,2.084739,0
